team,off,def,net
SEA,0.0201,-0.1458,0.166
BUF,0.1864,0.0258,0.1606
BAL,0.1056,-0.0344,0.14
LA,0.0945,-0.0351,0.1296
NE,0.0945,-0.0246,0.1191
JAX,0.0591,-0.0589,0.1179
PHI,-0.0151,-0.111,0.0959
SF,0.1074,0.015,0.0925
HOU,-0.0238,-0.1059,0.0821
MIN,-0.0994,-0.1723,0.0729
CHI,0.1044,0.032,0.0724
DET,0.0945,0.0228,0.0718
GB,0.0795,0.019,0.0605
KC,0.0118,-0.0486,0.0604
DEN,0.0044,-0.0425,0.0468
PIT,-0.0276,-0.04,0.0123
LAC,-0.0582,-0.0439,-0.0142
ATL,-0.0568,-0.0303,-0.0265
ARI,0.0234,0.0513,-0.0279
CIN,0.0199,0.0509,-0.031
NO,-0.0982,-0.0658,-0.0324
IND,0.003,0.0405,-0.0376
NYG,0.0146,0.06,-0.0454
TB,-0.0334,0.0138,-0.0472
WAS,0.0342,0.1173,-0.0831
DAL,0.0583,0.1799,-0.1216
CAR,-0.016,0.1071,-0.123
MIA,-0.0642,0.0701,-0.1343
CLE,-0.1995,-0.0555,-0.144
LV,-0.191,-0.0094,-0.1816
NYJ,-0.118,0.1042,-0.2222
TEN,-0.1144,0.1142,-0.2286
